City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
307,Rio Grande,BR,19.0,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
308,Bama,NG,18.04,clear sky,11.5221,13.6856,UN Humanitarian Hub
331,Dunedin,NZ,13.33,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
332,Constitucion,CL,15.23,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
363,San Quintin,MX,14.03,broken clouds,30.4833,-115.95,Old Mill Hotel
366,Chanika,TZ,18.83,scattered clouds,-5.4167,38.0167,New Rombo Green Hotel
367,Russell,US,12.0,overcast clouds,32.3502,-85.1999,Macs
380,Bertoua,CM,17.42,clear sky,4.5833,13.6833,Hotel De Paris
386,Tahta,EG,12.0,clear sky,26.7693,31.5021,El Salam Hotel
388,Bhag,PK,15.01,clear sky,29.0415,67.8239,Bukhari hotl
389,Colares,PT,11.11,light rain,38.7992,-9.4469,Arribas Sintra Hotel
404,Boyuibe,BO,18.16,few clouds,-20.4167,-63.2833,Residencial Eluzai
407,Los Llanos De Aridane,ES,14.0,few clouds,28.6585,-17.9182,Valle Aridane
408,Cabra,ES,11.11,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
409,Matay,EG,12.7,clear sky,28.419,30.7792,Nag Aespen
411,Mar Del Plata,AR,17.78,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
415,Yen Bai,VN,19.07,overcast clouds,21.7,104.8667,AK MOTEL
425,Rosetta,EG,16.0,scattered clouds,31.4044,30.4164,Green Valley
428,Antofagasta,CL,19.0,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
432,Nouadhibou,MR,17.0,broken clouds,20.930999999999997,-17.0347,El Medina
442,Warrnambool,AU,16.67,overcast clouds,-38.3833,142.4833,Lady Bay Resort
446,Fukue,JP,11.0,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
451,Ancud,CL,20.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
459,Itaqui,BR,18.56,clear sky,-29.1253,-56.5531,Biasi
465,Bandipur,NP,13.72,overcast clouds,27.9333,84.4167,Bandipur Guest House
469,Tomatlan,MX,18.91,clear sky,19.9333,-105.25,Norma franco
473,Sur,OM,17.66,clear sky,22.5667,59.5289,Sur Plaza Hotel
488,Taltal,CL,18.05,scattered clouds,-25.4,-70.4833,Residencial Karime
491,Vallenar,CL,18.53,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
498,Zaragoza,ES,11.67,clear sky,41.6561,-0.8773,Hotel Goya
513,Rancho Palos Verdes,US,13.89,clear sky,33.7445,-118.387,Terranea Resort
515,Forio,IT,13.33,overcast clouds,40.7342,13.8646,Hotel Terme Providence
530,Koutsouras,GR,13.33,clear sky,35.0339,25.9469,The White Houses
542,Opelousas,US,18.33,clear sky,30.5335,-92.0815,Holiday Inn & Suites Opelousas
560,Loei,TH,20.0,clear sky,17.4167,101.5,ไร่สานตม บ้านภูล้อม
566,Iranshahr,IR,10.0,clear sky,27.2025,60.6848,نیک سرشت
569,Calvinia,ZA,15.54,clear sky,-31.4707,19.776,Die Lemoenhuis
572,Bandar-E Lengeh,IR,17.0,mist,26.5579,54.8807,کافی نت پارس
578,Sheopur,IN,14.88,clear sky,25.6667,76.7,Shri Ram Dharmshala
580,Basavana Bagevadi,IN,19.62,few clouds,16.5833,75.9667,Vimochan lodge
