City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
80,Fortuna,US,40.5982,-124.1573,8.89,93,1,2.48,clear sky
81,Hilo,US,19.7297,-155.09,22.0,73,75,7.2,light rain
82,Chuy,UY,-33.6971,-53.4616,18.69,77,89,5.91,overcast clouds
83,Ambunti,PG,-4.2365,142.8448,29.22,77,73,1.13,broken clouds
84,Vaini,TO,-21.2,-175.2,27.0,94,75,2.57,moderate rain
85,Avera,US,33.194,-82.5271,10.0,49,1,1.54,clear sky
86,Vardo,NO,70.3705,31.1107,-2.3,90,100,8.66,overcast clouds
87,Waw,SS,7.7029,27.9953,22.24,22,0,3.0,clear sky
88,Hithadhoo,MV,-0.6,73.0833,28.03,76,100,5.16,overcast clouds
89,Lasa,IT,46.6166,10.7002,4.44,86,0,1.54,clear sky
90,Mount Isa,AU,-20.7333,139.5,35.0,41,40,6.69,scattered clouds
91,Bengkulu,ID,-3.8004,102.2655,29.35,62,26,1.46,scattered clouds
92,Trinidad,BO,-14.8333,-64.9,22.83,93,100,1.99,overcast clouds
93,Lagoa,PT,39.05,-27.9833,12.31,70,51,9.22,broken clouds
94,Nome,US,64.5011,-165.4064,-12.22,72,90,7.72,light snow
95,Saint George,US,37.1041,-113.5841,8.33,29,1,2.06,clear sky
96,Mumford,GH,5.2618,-0.759,26.62,87,0,4.51,clear sky
97,Salalah,OM,17.0151,54.0924,21.0,73,40,2.06,scattered clouds
98,Sawai Madhopur,IN,25.9833,76.3667,12.8,83,0,2.61,clear sky
99,Fairbanks,US,64.8378,-147.7164,-29.44,75,1,0.78,clear sky
100,Malartic,CA,48.1335,-78.1328,-4.0,68,75,2.06,broken clouds
101,La Mira,MX,18.035,-102.3266,22.68,83,2,1.42,clear sky
102,Butaritari,KI,3.0707,172.7902,26.96,83,96,6.06,light rain
103,Oriental,MX,19.3667,-97.6167,13.75,40,0,0.34,clear sky
104,Olawa,PL,50.9466,17.2926,0.0,86,90,3.09,overcast clouds
105,Port Blair,IN,11.6667,92.75,27.87,72,12,5.92,few clouds
106,Acapulco,MX,16.8634,-99.8901,26.0,78,75,1.54,broken clouds
107,Auki,SB,-8.7676,160.7034,29.78,64,35,3.73,scattered clouds
108,Foso,GH,5.7012,-1.2866,24.16,91,0,1.67,clear sky
109,Myrtle Beach,US,33.6891,-78.8867,7.22,87,1,1.54,clear sky
